scenario_id,scenario_name,run_id,timestep_index,timestamp_seconds,total_occupancy,occupancy_zone_1,occupancy_zone_2,occupancy_zone_3,occupancy_zone_4,cpu_util_comp_1,gpu_util_comp_1,workload_cat_comp_1,heat_w_comp_1,thermal_contrib_comp_1,status_comp_1,cpu_util_comp_2,gpu_util_comp_2,workload_cat_comp_2,heat_w_comp_2,thermal_contrib_comp_2,status_comp_2,cpu_util_comp_3,gpu_util_comp_3,workload_cat_comp_3,heat_w_comp_3,thermal_contrib_comp_3,status_comp_3,cpu_util_comp_4,gpu_util_comp_4,workload_cat_comp_4,heat_w_comp_4,thermal_contrib_comp_4,status_comp_4,cpu_util_comp_5,gpu_util_comp_5,workload_cat_comp_5,heat_w_comp_5,thermal_contrib_comp_5,status_comp_5,cpu_util_comp_6,gpu_util_comp_6,workload_cat_comp_6,heat_w_comp_6,thermal_contrib_comp_6,status_comp_6,cpu_util_comp_7,gpu_util_comp_7,workload_cat_comp_7,heat_w_comp_7,thermal_contrib_comp_7,status_comp_7,cpu_util_comp_8,gpu_util_comp_8,workload_cat_comp_8,heat_w_comp_8,thermal_contrib_comp_8,status_comp_8,cpu_util_comp_9,gpu_util_comp_9,workload_cat_comp_9,heat_w_comp_9,thermal_contrib_comp_9,status_comp_9,cpu_util_comp_10,gpu_util_comp_10,workload_cat_comp_10,heat_w_comp_10,thermal_contrib_comp_10,status_comp_10,outdoor_temperature_c,relative_humidity_percent,solar_irradiance_w_m2,cooling_level_ac1,setpoint_ac1,state_ac1,cooling_level_ac2,setpoint_ac2,state_ac2,cooling_level_ac3,setpoint_ac3,state_ac3,cooling_level_ac4,setpoint_ac4,state_ac4,zone_1_temperature_c,zone_2_temperature_c,zone_3_temperature_c,zone_4_temperature_c,room_average_temperature_c,max_zone_temperature_c,min_zone_temperature_c,temperature_gradient_c,comp_heat_zone_1_w,comp_heat_zone_2_w,comp_heat_zone_3_w,comp_heat_zone_4_w,occ_heat_zone_1_w,occ_heat_zone_2_w,occ_heat_zone_3_w,occ_heat_zone_4_w,env_heat_zone_1_w,env_heat_zone_2_w,env_heat_zone_3_w,env_heat_zone_4_w,interzone_heat_zone_1_w,interzone_heat_zone_2_w,interzone_heat_zone_3_w,interzone_heat_zone_4_w,hvac_cooling_zone_1_w,hvac_cooling_zone_2_w,hvac_cooling_zone_3_w,hvac_cooling_zone_4_w,net_heat_zone_1_w,net_heat_zone_2_w,net_heat_zone_3_w,net_heat_zone_4_w,total_computational_heat_w,total_occupancy_heat_w,total_envelope_heat_w,total_hvac_cooling_w,total_net_heat_w,optimal_cooling_ac1,optimal_cooling_ac2,optimal_cooling_ac3,optimal_cooling_ac4,optimal_temperature_c,optimal_hvac_action,target_objective_cost
4,High Occupancy / Low Computer Load,0,10,100.0,24,6,6,6,6,9.82,1.74,IDLE,59.88,LOW,IDLE,8.51,1.24,IDLE,57.5,LOW,IDLE,10.65,2.48,LIGHT,62.03,LOW,RUNNING,9.61,2.04,IDLE,60.07,LOW,IDLE,8.97,1.48,IDLE,58.43,LOW,IDLE,12.4,3.06,LIGHT,65.09,LOW,RUNNING,10.46,1.99,LIGHT,61.06,LOW,RUNNING,8.56,1.31,IDLE,57.67,LOW,IDLE,7.57,0.9,IDLE,55.81,LOW,IDLE,11.47,2.98,LIGHT,63.81,LOW,RUNNING,27.03,58.0,161.4,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.949,21.936,21.945,21.933,21.941,21.949,21.933,0.016,239.48,123.52,118.73,119.62,510.0,510.0,510.0,510.0,169.78,210.38,250.55,210.44,-2.79,2.04,-2.04,2.79,875.0,875.0,875.0,875.0,41.47,-29.06,2.24,-32.15,601.35,2040.0,841.15,3500.0,-17.5,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8212
4,High Occupancy / Low Computer Load,0,11,110.0,24,6,6,6,6,9.71,1.71,IDLE,59.7,LOW,IDLE,8.5,1.28,IDLE,57.55,LOW,IDLE,10.75,2.55,LIGHT,62.26,LOW,RUNNING,9.73,2.08,IDLE,60.28,LOW,IDLE,9.0,1.45,IDLE,58.42,LOW,IDLE,12.31,2.99,LIGHT,64.87,LOW,RUNNING,10.33,1.94,LIGHT,60.82,LOW,RUNNING,8.51,1.33,IDLE,57.63,LOW,IDLE,7.64,0.97,IDLE,56.0,LOW,IDLE,11.6,3.03,LIGHT,64.05,LOW,RUNNING,27.03,58.0,161.5,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.95,21.935,21.945,21.932,21.941,21.95,21.932,0.018,239.79,123.29,118.45,120.05,510.0,510.0,510.0,510.0,169.8,210.46,250.64,210.53,-3.25,2.38,-2.25,3.13,875.0,875.0,875.0,875.0,41.34,-28.87,1.84,-31.29,601.58,2040.0,841.43,3500.0,-16.98,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8223
4,High Occupancy / Low Computer Load,0,12,120.0,26,6,7,7,6,9.62,1.7,IDLE,59.57,LOW,IDLE,8.52,1.34,IDLE,57.66,LOW,IDLE,10.87,2.63,LIGHT,62.53,LOW,RUNNING,9.83,2.1,IDLE,60.44,LOW,IDLE,8.99,1.4,IDLE,58.34,LOW,IDLE,12.2,2.91,LIGHT,64.61,LOW,RUNNING,10.22,1.91,LIGHT,60.64,LOW,RUNNING,8.5,1.37,IDLE,57.68,LOW,IDLE,7.74,1.04,IDLE,56.23,LOW,IDLE,11.72,3.07,LIGHT,64.26,LOW,RUNNING,27.03,58.0,161.7,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.951,21.936,21.947,21.931,21.941,21.951,21.931,0.02,240.2,122.95,118.32,120.49,510.0,595.0,595.0,510.0,169.86,210.6,250.82,210.67,-3.71,2.71,-2.46,3.46,875.0,875.0,875.0,875.0,41.35,56.26,86.68,-30.38,601.96,2210.0,841.95,3500.0,153.91,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8013
4,High Occupancy / Low Computer Load,0,13,130.0,28,7,7,7,7,9.55,1.71,IDLE,59.5,LOW,IDLE,8.58,1.41,IDLE,57.84,LOW,IDLE,10.99,2.69,LIGHT,62.77,LOW,RUNNING,9.92,2.1,IDLE,60.55,LOW,IDLE,8.96,1.33,IDLE,58.2,LOW,IDLE,12.08,2.85,LIGHT,64.38,LOW,RUNNING,10.13,1.9,LIGHT,60.51,LOW,RUNNING,8.52,1.43,IDLE,57.8,LOW,IDLE,7.85,1.12,IDLE,56.49,LOW,IDLE,11.82,3.1,LIGHT,64.42,LOW,RUNNING,27.04,58.0,161.8,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.954,21.937,21.949,21.932,21.943,21.954,21.932,0.022,240.66,122.58,118.31,120.91,595.0,595.0,595.0,595.0,170.08,210.86,251.07,210.96,-3.91,2.78,-2.91,4.03,875.0,875.0,875.0,875.0,126.83,56.22,86.47,55.9,602.46,2380.0,842.97,3500.0,325.42,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7766
4,High Occupancy / Low Computer Load,0,14,140.0,30,7,8,8,7,9.51,1.74,IDLE,59.5,LOW,IDLE,8.65,1.48,IDLE,58.03,LOW,IDLE,11.12,2.74,LIGHT,63.01,LOW,RUNNING,9.97,2.08,IDLE,60.58,LOW,IDLE,8.89,1.26,IDLE,58.0,LOW,IDLE,11.95,2.79,LIGHT,64.12,LOW,RUNNING,10.06,1.91,LIGHT,60.44,LOW,RUNNING,8.57,1.5,IDLE,57.96,LOW,IDLE,7.98,1.18,IDLE,56.75,LOW,IDLE,11.91,3.1,LIGHT,64.54,LOW,RUNNING,27.04,58.0,161.9,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.957,21.94,21.952,21.933,21.946,21.957,21.933,0.024,241.12,122.12,118.4,121.29,595.0,680.0,680.0,595.0,170.06,210.9,251.12,211.01,-4.37,3.11,-3.12,4.37,875.0,875.0,875.0,875.0,126.81,141.13,171.4,56.67,602.93,2550.0,843.09,3500.0,496.01,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7501
4,High Occupancy / Low Computer Load,0,15,150.0,30,7,8,8,7,9.5,1.78,IDLE,59.55,LOW,IDLE,8.75,1.56,IDLE,58.28,LOW,IDLE,11.23,2.78,LIGHT,63.21,LOW,RUNNING,10.0,2.04,LIGHT,60.56,LOW,RUNNING,8.8,1.19,IDLE,57.78,LOW,IDLE,11.83,2.74,LIGHT,63.9,LOW,RUNNING,10.01,1.93,LIGHT,60.41,LOW,RUNNING,8.64,1.57,IDLE,58.16,LOW,IDLE,8.1,1.24,IDLE,56.98,LOW,IDLE,11.97,3.08,LIGHT,64.58,LOW,RUNNING,27.04,58.0,162.1,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.96,21.943,21.955,21.934,21.948,21.96,21.934,0.026,241.6,121.68,118.57,121.56,595.0,680.0,680.0,595.0,170.07,210.96,251.23,211.11,-4.59,3.08,-3.34,4.84,875.0,875.0,875.0,875.0,127.08,140.72,171.46,57.51,603.41,2550.0,843.37,3500.0,496.77,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7417
4,High Occupancy / Low Computer Load,0,16,160.0,30,7,8,8,7,9.52,1.84,IDLE,59.66,LOW,IDLE,8.87,1.63,IDLE,58.53,LOW,IDLE,11.34,2.8,LIGHT,63.38,LOW,RUNNING,9.99,1.99,IDLE,60.47,LOW,IDLE,8.7,1.11,IDLE,57.54,LOW,IDLE,11.72,2.71,LIGHT,63.72,LOW,RUNNING,10.0,1.98,LIGHT,60.47,LOW,RUNNING,8.74,1.65,IDLE,58.4,LOW,IDLE,8.22,1.27,IDLE,57.18,LOW,IDLE,12.0,3.05,LIGHT,64.58,LOW,RUNNING,27.04,58.0,162.2,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.963,21.946,21.959,21.935,21.951,21.963,21.935,0.028,242.04,121.26,118.87,121.76,595.0,680.0,680.0,595.0,170.04,210.97,251.25,211.16,-4.8,3.05,-3.55,5.3,875.0,875.0,875.0,875.0,127.28,140.28,171.57,58.22,603.93,2550.0,843.42,3500.0,497.35,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7328
4,High Occupancy / Low Computer Load,0,17,170.0,34,8,9,9,8,9.58,1.91,IDLE,59.84,LOW,IDLE,8.99,1.69,IDLE,58.77,LOW,IDLE,11.42,2.8,LIGHT,63.47,LOW,RUNNING,9.96,1.93,IDLE,60.34,LOW,IDLE,8.58,1.04,IDLE,57.29,LOW,IDLE,11.63,2.7,LIGHT,63.59,LOW,RUNNING,10.02,2.03,LIGHT,60.57,LOW,RUNNING,8.86,1.72,IDLE,58.66,LOW,IDLE,8.32,1.3,IDLE,57.35,LOW,IDLE,12.0,3.0,LIGHT,64.5,LOW,RUNNING,27.05,58.0,162.4,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.967,21.951,21.964,21.938,21.955,21.967,21.938,0.029,242.42,120.88,119.23,121.85,680.0,765.0,765.0,680.0,170.27,211.24,251.56,211.47,-5.01,3.13,-4.01,5.89,875.0,875.0,875.0,875.0,212.68,225.25,256.78,144.21,604.38,2890.0,844.54,3500.0,838.92,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.6838
4,High Occupancy / Low Computer Load,0,18,180.0,34,8,9,9,8,9.66,1.98,IDLE,60.05,LOW,IDLE,9.12,1.74,IDLE,59.01,LOW,IDLE,11.47,2.78,LIGHT,63.51,LOW,RUNNING,9.89,1.86,IDLE,60.15,LOW,IDLE,8.45,0.98,IDLE,57.03,LOW,IDLE,11.55,2.71,LIGHT,63.5,LOW,RUNNING,10.07,2.1,LIGHT,60.74,LOW,RUNNING,8.98,1.78,IDLE,58.9,LOW,IDLE,8.41,1.3,IDLE,57.46,LOW,IDLE,11.96,2.94,LIGHT,64.36,LOW,RUNNING,27.05,58.0,162.5,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.971,21.956,21.969,21.941,21.959,21.971,21.941,0.03,242.72,120.53,119.64,121.82,680.0,765.0,765.0,680.0,170.22,211.19,251.54,211.47,-4.99,2.99,-4.24,6.24,875.0,875.0,875.0,875.0,212.95,224.71,256.94,144.53,604.71,2890.0,844.42,3500.0,839.13,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.6702
4,High Occupancy / Low Computer Load,0,19,190.0,34,8,9,9,8,9.76,2.06,IDLE,60.29,LOW,IDLE,9.24,1.78,IDLE,59.22,LOW,IDLE,11.5,2.74,LIGHT,63.48,LOW,RUNNING,9.8,1.78,IDLE,59.92,LOW,IDLE,8.33,0.94,IDLE,56.82,LOW,IDLE,11.51,2.73,LIGHT,63.48,LOW,RUNNING,10.14,2.17,LIGHT,60.93,LOW,RUNNING,9.1,1.84,IDLE,59.13,LOW,IDLE,8.47,1.28,IDLE,57.51,LOW,IDLE,11.9,2.87,LIGHT,64.18,LOW,RUNNING,27.05,58.0,162.6,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.975,21.961,21.974,21.944,21.963,21.975,21.944,0.031,242.91,120.3,120.06,121.69,680.0,765.0,765.0,680.0,170.17,211.14,251.51,211.46,-4.98,2.86,-4.48,6.61,875.0,875.0,875.0,875.0,213.1,224.3,257.09,144.76,604.96,2890.0,844.28,3500.0,839.25,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.6568
